Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
328,Kenny McLean,Scotland,MF,Norwich City,29,1992,31,29,2706,30.1,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,1.9,1.9,0.7,2.6,0.06,0.02,0.09,0.06,0.09
329,Dwight McNeil,ENG,MF,Burnley,21,1999,38,35,3107,34.5,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,2.3,2.3,4.8,7.1,0.07,0.14,0.21,0.07,0.21
330,Scott McTominay,Scotland,MF,Manchester Utd,24,1996,30,28,2387,26.5,1,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,1.5,1.5,1.8,3.3,0.06,0.07,0.12,0.06,0.12
331,Ben Mee,ENG,DF,Burnley,31,1989,21,21,1839,20.4,3,0,3,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.8,1.8,0.1,1.9,0.09,0.00,0.09,0.09,0.09
332,Hannibal Mejbri,TUN,FW,Manchester Utd,18,2003,2,1,68,0.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.00,0.12,0.12,0.12
333,Benjamin Mendy,France,DF,Manchester City,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.30,0.30,0.00,0.30
334,Edouard Mendy,Senegal,GK,Chelsea,29,1992,34,34,3060,34.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
335,Nampalys Mendy,Senegal,MF,Leicester City,29,1992,14,12,1032,11.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
336,Illan Meslier,France,GK,Leeds United,21,2000,38,38,3384,37.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
337,Luka Milivojević,SRB,MF,Crystal Palace,30,1991,15,9,774,8.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.03,0.09,0.12,0.03,0.12
338,James Milner,ENG,MF/DF,Liverpool,35,1986,24,9,853,9.5,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,2.2,2.4,0.03,0.23,0.26,0.03,0.26
339,Yerry Mina,Colombia,DF,Everton,26,1994,13,11,846,9.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03
340,Takumi Minamino,JPN,FW/MF,Liverpool,26,1995,11,1,186,2.1,3,0,3,0,0,1,0,1.45,0.00,1.45,1.45,1.45,1.8,1.8,0.5,2.3,0.88,0.25,1.13,0.88,1.13
341,Tyrone Mings,ENG,DF,Aston Villa,28,1993,36,35,3189,35.4,1,3,1,0,0,11,0,0.03,0.08,0.11,0.03,0.11,1.4,1.4,1.5,2.9,0.04,0.04,0.08,0.04,0.08
342,Tyrick Mitchell,ENG,DF,Crystal Palace,21,1999,36,35,3101,34.5,0,2,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,1.3,1.6,0.01,0.04,0.05,0.01,0.05
343,Jakub Moder,Poland,MF/FW,Brighton,22,1999,28,19,1701,18.9,0,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,2.4,2.4,1.7,4.1,0.13,0.09,0.22,0.13,0.22
344,Wesley Moraes,Brazil,FW,Aston Villa,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
345,Tyler Morton,ENG,MF,Liverpool,18,2002,2,1,66,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
346,Mason Mount,ENG,MF/FW,Chelsea,22,1999,32,27,2363,26.3,11,10,10,1,1,4,0,0.42,0.38,0.80,0.38,0.76,8.9,8.1,6.7,14.8,0.34,0.25,0.59,0.31,0.56
347,Lucas Moura,Brazil,FW/MF,Tottenham,28,1992,34,19,1775,19.7,2,6,2,0,0,4,0,0.10,0.30,0.41,0.10,0.41,3.7,3.7,4.4,8.1,0.19,0.23,0.41,0.19,0.41
348,João Moutinho,Portugal,MF,Wolves,34,1986,35,34,2970,33.0,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,1.0,1.0,2.4,3.5,0.03,0.07,0.11,0.03,0.11
349,Bali Mumba,ENG,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
350,Jacob Murphy,ENG,FW/DF,Newcastle Utd,26,1995,33,13,1473,16.4,1,2,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,2.9,2.9,2.1,5.0,0.18,0.13,0.31,0.18,0.31
351,Enock Mwepu,ZAM,MF/FW,Brighton,23,1998,18,12,996,11.1,2,4,2,0,0,2,0,0.18,0.36,0.54,0.18,0.54,1.9,1.9,1.4,3.2,0.17,0.12,0.29,0.17,0.29
352,Vitaliy Mykolenko,UKR,DF,Everton,22,1999,13,12,1055,11.7,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.8,1.6,0.07,0.07,0.14,0.07,0.14
353,Marvelous Nakamba,ZIM,MF,Aston Villa,27,1994,16,10,904,10.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
354,Wilfred Ndidi,Nigeria,MF/DF,Leicester City,24,1996,19,18,1618,18.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.06,0.00,0.06,0.06,0.06
355,Tanguy Ndombele,France,MF,Tottenham,24,1996,9,6,484,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.5,0.5,0.4,0.9,0.09,0.07,0.16,0.09,0.16
356,Reiss Nelson,ENG,FW,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.16,0.18,0.35,0.16,0.35
357,Pedro Neto,Portugal,FW/MF,Wolves,21,2000,13,5,466,5.2,1,1,1,0,0,3,0,0.19,0.19,0.39,0.19,0.39,1.5,1.5,1.1,2.6,0.29,0.22,0.51,0.29,0.51
358,Rúben Neves,Portugal,MF,Wolves,24,1997,33,31,2661,29.6,4,2,4,0,0,9,0,0.14,0.07,0.20,0.14,0.20,1.2,1.2,2.2,3.4,0.04,0.07,0.12,0.04,0.12
359,Jeremy Ngakia,ENG,DF,Watford,20,2000,16,9,903,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.01,0.05,0.06,0.01,0.06
360,Saúl Ñíguez,Spain,MF/DF,Chelsea,26,1994,10,5,480,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.04,0.06,0.10,0.04,0.10
361,Eddie Nketiah,ENG,FW,Arsenal,22,1999,21,8,835,9.3,5,1,5,0,0,3,0,0.54,0.11,0.65,0.54,0.65,4.6,4.6,1.4,6.1,0.50,0.16,0.65,0.50,0.65
362,Nicolas Nkoulou,CMR,DF,Watford,31,1990,3,2,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
363,Mark Noble,ENG,MF,West Ham,34,1987,11,3,332,3.7,1,0,0,1,2,0,0,0.27,0.00,0.27,0.00,0.00,1.5,0.0,0.2,0.2,0.41,0.06,0.47,0.00,0.06
364,Mathias Normann,Norway,MF,Norwich City,25,1996,23,20,1645,18.3,1,2,1,0,0,6,0,0.05,0.11,0.16,0.05,0.16,0.9,0.9,1.8,2.8,0.05,0.10,0.15,0.05,0.15
365,Christian Nørgaard,Denmark,MF,Brentford,27,1994,35,35,3054,33.9,3,4,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21,3.2,3.2,3.1,6.3,0.09,0.09,0.19,0.09,0.19
366,Angelo Ogbonna,ITA,DF,West Ham,33,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03
367,Michael Olise,France,FW/MF,Crystal Palace,19,2001,26,12,1141,12.7,2,5,2,0,0,4,0,0.16,0.39,0.55,0.16,0.55,1.4,1.4,3.4,4.8,0.11,0.27,0.38,0.11,0.38
368,Robin Olsen,Sweden,GK,Aston Villa,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
369,Andrew Omobamidele,Ireland,DF,Norwich City,19,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08
370,Tyler Onyango,ENG,MF/FW,Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10
371,Frank Onyeka,Nigeria,MF,Brentford,23,1998,20,12,1045,11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.10,0.02,0.11,0.10,0.11
372,Divock Origi,Belgium,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,0,0,0,0,2.03,0.00,2.03,2.03,2.03,1.6,1.6,0.0,1.6,1.08,0.00,1.08,1.08,1.08
373,Alex Oxlade-Chamberlain,ENG,MF/FW,Liverpool,27,1993,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.24,0.14,0.24
374,Cole Palmer,ENG,FW/MF,Manchester City,19,2002,4,1,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.23,0.17,0.39,0.23,0.39
375,Emerson Palmieri,ITA,DF,Chelsea,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
376,Thomas Partey,Ghana,MF,Arsenal,28,1993,24,23,2028,22.5,2,1,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,2.5,2.5,1.3,3.8,0.11,0.06,0.17,0.11,0.17
377,Nicolas Pépé,Ivory Coast,FW/MF,Arsenal,26,1995,20,5,696,7.7,1,2,1,0,0,0,0,0.13,0.26,0.39,0.13,0.39,2.9,2.9,1.7,4.6,0.38,0.22,0.60,0.38,0.60
378,Ricardo Pereira,Portugal,DF,Leicester City,27,1993,14,13,991,11.0,1,3,1,0,0,3,0,0.09,0.27,0.36,0.09,0.36,0.7,0.7,1.3,2.0,0.06,0.12,0.18,0.06,0.18
379,Ayoze Pérez,Spain,MF/FW,Leicester City,28,1993,14,6,445,4.9,2,3,2,0,0,0,1,0.40,0.61,1.01,0.40,1.01,1.5,1.5,0.9,2.4,0.31,0.18,0.49,0.31,0.49
380,Sonny Perkins,ENG,FW,West Ham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
381,Romain Perraud,France,DF,Southampton,23,1997,20,18,1623,18.0,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.9,0.9,0.6,1.5,0.05,0.03,0.08,0.05,0.08
382,Kalvin Phillips,ENG,MF,Leeds United,25,1995,20,18,1596,17.7,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,0.2,0.9,0.04,0.01,0.05,0.04,0.05
383,Jaden Philogene Bidace,ENG,FW,Aston Villa,19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
384,Jordan Pickford,ENG,GK,Everton,27,1994,35,35,3150,35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00
385,Erik Pieters,Netherlands,DF,Burnley,32,1988,12,8,730,8.1,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.8,1.0,0.02,0.10,0.13,0.02,0.13
386,Ethan Pinnock,JAM,DF,Brentford,28,1993,32,32,2694,29.9,1,1,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,1.5,1.5,1.2,2.8,0.05,0.04,0.09,0.05,0.09
387,Daniel Podence,Portugal,FW/MF,Wolves,25,1995,26,15,1484,16.5,2,3,2,0,0,2,0,0.12,0.18,0.30,0.12,0.30,1.9,1.9,3.8,5.8,0.12,0.23,0.35,0.12,0.35
388,Paul Pogba,France,MF/FW,Manchester Utd,28,1993,20,16,1349,15.0,1,9,1,0,0,7,1,0.07,0.60,0.67,0.07,0.67,2.4,2.4,3.5,6.0,0.16,0.24,0.40,0.16,0.40
389,Nick Pope,ENG,GK,Burnley,29,1992,36,36,3240,36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01
390,Isaac Price,NIR,MF,Everton,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.03,0.00,1.03,1.03,1.03
391,Teemu Pukki,FIN,FW,Norwich City,31,1990,37,37,3253,36.1,11,3,8,3,3,4,0,0.30,0.08,0.39,0.22,0.30,11.5,9.2,2.8,12.0,0.32,0.08,0.40,0.26,0.33
392,Christian Pulisic,USA,MF/FW,Chelsea,22,1998,22,13,1290,14.3,6,2,6,0,0,2,0,0.42,0.14,0.56,0.42,0.56,5.1,5.1,1.2,6.3,0.35,0.08,0.44,0.35,0.44
393,Przemysław Płacheta,Poland,FW/MF,Norwich City,23,1998,12,6,504,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.3,0.10,0.13,0.23,0.10,0.23
394,Jesuran Rak Sakyi,ENG,FW/MF,Crystal Palace,18,2002,2,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
395,Aaron Ramsdale,ENG,GK,Arsenal,23,1998,34,34,3060,34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
396,Jacob Ramsey,ENG,MF,Aston Villa,20,2001,34,29,2467,27.4,6,1,6,0,0,6,0,0.22,0.04,0.26,0.22,0.26,3.8,3.8,2.0,5.8,0.14,0.07,0.21,0.14,0.21
397,Raphinha,Brazil,FW/MF,Leeds United,24,1996,35,34,2915,32.4,11,3,7,4,4,7,0,0.34,0.09,0.43,0.22,0.31,11.2,8.2,6.8,15.0,0.35,0.21,0.56,0.25,0.46
398,Marcus Rashford,ENG,FW/MF,Manchester Utd,23,1997,25,13,1235,13.7,4,2,4,0,0,2,0,0.29,0.15,0.44,0.29,0.44,2.4,2.4,2.0,4.4,0.18,0.14,0.32,0.18,0.32
399,Milot Rashica,KVX,FW/MF,Norwich City,25,1996,31,25,2229,24.8,1,2,1,0,0,0,0,0.04,0.08,0.12,0.04,0.12,2.7,2.7,2.6,5.3,0.11,0.10,0.21,0.11,0.21
400,David Raya,Spain,GK,Brentford,25,1995,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
401,Nathan Redmond,ENG,MF/FW,Southampton,27,1994,27,20,1833,20.4,1,5,1,0,0,0,0,0.05,0.25,0.29,0.05,0.29,1.9,1.9,4.3,6.3,0.09,0.21,0.31,0.09,0.31
402,Sergio Reguilón,Spain,DF,Tottenham,24,1996,25,22,1916,21.3,2,3,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,3.0,3.0,4.0,7.0,0.14,0.19,0.33,0.14,0.33
403,Declan Rice,ENG,MF,West Ham,22,1999,36,35,3179,35.3,1,4,1,0,0,8,0,0.03,0.11,0.14,0.03,0.14,1.1,1.1,2.0,3.0,0.03,0.06,0.09,0.03,0.09
404,Taylor Richards,ENG,MF/FW,Brighton,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.14,0.00,0.14,0.14,0.14
405,Richarlison,Brazil,FW/MF,Everton,24,1997,30,28,2523,28.0,10,5,7,3,3,9,0,0.36,0.18,0.54,0.25,0.43,10.2,7.9,2.4,10.3,0.36,0.09,0.45,0.28,0.37
406,Jaïro Riedewald,Netherlands,MF,Crystal Palace,24,1996,3,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06
407,Matt Ritchie,Scotland,DF,Newcastle Utd,31,1989,18,14,1337,14.9,0,2,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,1.6,2.1,0.03,0.11,0.14,0.03,0.14
408,Connor Roberts,Wales,DF,Burnley,25,1995,21,19,1692,18.8,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.2,0.2,1.1,1.3,0.01,0.06,0.07,0.01,0.07
409,Tyler Roberts,Wales,MF/FW,Leeds United,22,1999,23,7,987,11.0,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.2,3.7,0.22,0.11,0.34,0.22,0.34
410,Andrew Robertson,Scotland,DF,Liverpool,27,1994,29,29,2537,28.2,3,10,3,0,0,5,1,0.11,0.35,0.46,0.11,0.46,1.9,1.9,5.2,7.0,0.07,0.18,0.25,0.07,0.25
411,Joe Rodon,Wales,DF,Tottenham,23,1997,3,0,89,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
412,Rodri,Spain,MF,Manchester City,25,1996,33,33,2884,32.0,7,2,7,0,0,5,0,0.22,0.06,0.28,0.22,0.28,2.7,2.7,1.4,4.1,0.08,0.04,0.13,0.08,0.13
413,Rodrigo,Spain,MF/FW,Leeds United,30,1991,31,27,2265,25.2,6,1,5,1,1,9,0,0.24,0.04,0.28,0.20,0.24,4.9,4.1,4.6,8.8,0.19,0.18,0.38,0.16,0.35
414,Jay Rodriguez,ENG,FW,Burnley,32,1989,29,13,1382,15.4,2,2,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,4.7,4.7,1.9,6.6,0.30,0.12,0.43,0.30,0.43
415,Mads Roerslev,Denmark,DF,Brentford,22,1999,21,12,1240,13.8,1,1,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,0.3,0.3,0.9,1.2,0.02,0.06,0.08,0.02,0.08
416,Cristian Romero,Argentina,DF,Tottenham,23,1998,22,21,1844,20.5,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.5,1.1,0.03,0.02,0.05,0.03,0.05
417,Oriol Romeu,Spain,MF,Southampton,29,1991,36,34,2889,32.1,2,2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,2.8,4.1,0.04,0.09,0.13,0.04,0.13
418,Cristiano Ronaldo,Portugal,FW,Manchester Utd,36,1985,30,27,2456,27.3,18,3,15,3,3,8,0,0.66,0.11,0.77,0.55,0.66,16.5,14.2,3.1,17.3,0.61,0.11,0.72,0.52,0.64
419,Salomón Rondón,VEN,FW,Everton,31,1989,20,8,790,8.8,1,1,1,0,0,3,1,0.11,0.11,0.23,0.11,0.23,2.2,2.2,0.7,2.9,0.25,0.09,0.33,0.25,0.33
420,Danny Rose,ENG,DF,Watford,31,1990,8,7,689,7.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.9,0.02,0.10,0.12,0.02,0.12
421,Jon Rowe,ENG,FW/MF,Norwich City,18,2003,13,0,223,2.5,0,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,0.4,0.4,0.3,0.7,0.16,0.14,0.30,0.16,0.30
422,John Ruddy,ENG,GK,Wolves,34,1986,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
423,Antonio Rüdiger,Germany,DF,Chelsea,28,1993,34,34,3035,33.7,3,0,3,0,0,9,0,0.09,0.00,0.09,0.09,0.09,2.8,2.8,1.1,3.9,0.08,0.03,0.12,0.08,0.12
424,Lukas Rupp,Germany,MF,Norwich City,30,1991,19,7,769,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.2,1.9,0.08,0.14,0.22,0.08,0.22
425,José Sá,Portugal,GK,Wolves,28,1993,37,37,3285,36.5,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,1.0,1.0,0.00,0.03,0.03,0.00,0.03
426,Allan Saint-Maximin,France,FW/MF,Newcastle Utd,24,1997,35,31,2804,31.2,5,5,5,0,0,6,0,0.16,0.16,0.32,0.16,0.32,5.1,5.1,5.8,10.9,0.16,0.19,0.35,0.16,0.35
427,Romain Saïss,MAR,DF,Wolves,31,1990,31,31,2705,30.1,2,0,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,2.7,2.7,0.4,3.1,0.09,0.01,0.10,0.09,0.10
428,Bukayo Saka,ENG,FW/MF,Arsenal,19,2001,38,36,2978,33.1,11,7,9,2,2,6,0,0.33,0.21,0.54,0.27,0.48,9.7,8.2,6.9,15.2,0.29,0.21,0.50,0.25,0.46
429,Mohamed Salah,EGY,FW,Liverpool,29,1992,35,30,2762,30.7,23,13,18,5,6,1,0,0.75,0.42,1.17,0.59,1.01,21.8,17.0,10.4,27.4,0.71,0.34,1.05,0.55,0.89
430,Mohammed Salisu,Ghana,DF,Southampton,22,1999,34,33,2972,33.0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.5,2.3,0.06,0.02,0.07,0.06,0.07
431,Albert Sambi Lokonga,Belgium,MF,Arsenal,21,1999,19,12,1134,12.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.8,1.4,0.05,0.06,0.11,0.05,0.11
432,Davinson Sánchez,Colombia,DF,Tottenham,25,1996,23,17,1631,18.1,2,0,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,2.1,2.1,0.4,2.5,0.11,0.02,0.14,0.11,0.14
433,Robert Sánchez,Spain,GK,Brighton,23,1997,37,37,3329,37.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01
434,Jadon Sancho,ENG,FW/MF,Manchester Utd,21,2000,29,20,1900,21.1,3,3,3,0,0,0,0,0.14,0.14,0.28,0.14,0.28,3.3,3.3,4.2,7.5,0.16,0.20,0.36,0.16,0.36
435,Morgan Sanson,France,MF,Aston Villa,26,1994,10,3,356,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01
436,Samir Santos,Brazil,DF,Watford,26,1994,19,19,1673,18.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.5,0.02,0.01,0.02,0.02,0.02
